year,co2
1907,19.894
1908,22.736
1909,24.252
1910,25.009
1911,24.631
1912,17.029
1913,24.252
1914,26.718
1915,25.421
1916,30.131
1917,32.023
1918,34.748
1919,37.997
1920,40.278
1921,38.763
1922,39.972
1923,46.518
1924,48.846
1925,45.955
1926,43.66
1927,45.809
1928,47.591
1929,48.282
1930,49.558
1931,51.905
1932,50.269
1933,54.111
1934,62.383
1935,72.646
1936,75.477
1937,70.969
1938,61.366
1939,74.427
1940,90.791
1941,113.979
1942,127.613
1943,108.995
1944,103.004
1945,55.892
1946,36.107
1947,41.836
1948,38.4
1949,62.081
1950,78.835
1951,102.115
1952,127.999
1953,133.783
1954,160.877
1955,190.521
1956,215.824
1957,255.785
1958,524.617
1959,720.152
1960,798.8
1961,570.63
1962,459.618
1963,456.779
1964,460.637
1965,500.286
1966,549.459
1967,460.226
1968,495.507
1969,607.683
1970,807.953
1971,909.21
1972,968.646
1973,1008.293
1974,1028.1
1975,1183.215
1976,1226.421
1977,1340.831
1978,1492.778
1979,1525.661
1980,1494.496
1981,1476.488
1982,1606.585
1983,1694.217
1984,1844.828
1985,1998.083
1986,2104.213
1987,2257.739
1988,2425.894
1989,2463.654
1990,2484.855
1991,2606.096
1992,2730.788
1993,2921.651
1994,3103.739
1995,3361.637
1996,3508.818
1997,3515.594
1998,3364.587
1999,3557.275
2000,3649.227
2001,3728.51
2002,4103.046
2003,4841.119
2004,5217.351
2005,5882.106
2006,6494.331
2007,6983.547
2008,7501.498
2009,7891.078
2010,8620.576
2011,9532.332
2012,9779.292
2013,9956.329
2014,9990.257
2015,9863.457
2016,9762.714
2017,10006.343
2018,10332.992
2019,10713.984
2020,10905.693
2021,11447.913
2022,11350.538
2023,11902.503
